s.no.,Division/ Seat No.,Name of Member,Session,From Date,To Date,State,Total Sittings,No of days member signed the register
1,1,Shri Arun Jaitley,239,25/04/2016,13/05/2016,Gujrat,15,M
2,3,Shri Manohar Parrikar,239,25/04/2016,13/05/2016,Uttar Pradesh,15,M
3,4,Shri Mukhtar Abbas Naqvi,239,25/04/2016,13/05/2016,Jharkhand,15,M
4,5,Smt. Nirmala Sitharaman,239,25/04/2016,13/05/2016,Karnataka,15,M
5,6,Shri Dharmendra Pradhan,239,25/04/2016,13/05/2016,Bihar,15,M
6,7,Shri Anil Madhav Dave,239,25/04/2016,13/05/2016,Madhya Pradesh,15,4
7,8,Shri Vinay Katiyar,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
8,9,Shri Prabhat Jha,239,25/04/2016,13/05/2016,Madhya Pradesh,15,14
9,10,Shri Mansukh L. Mandaviya,239,25/04/2016,13/05/2016,Gujrat,15,2
10,11,Dr. Chandan Mitra,239,25/04/2016,13/05/2016,Madhya Pradesh,15,12
11,12,Dr. Prabhakar Kore,239,25/04/2016,13/05/2016,Karnataka,15,12
12,12,Shri Nand Kumar Sai,239,25/04/2016,13/05/2016,Chhatisgarh,15,9
13,13,Shri Tarun Vijay,239,25/04/2016,13/05/2016,Uttara Khand,15,14
14,13,Shri Meghraj Jain,239,25/04/2016,13/05/2016,Madhya Pradesh,15,14
15,14,Shri Aayanur Manjunatha,239,25/04/2016,13/05/2016,Karnataka,15,13
16,15,Shri Ram Narain Dudi,239,25/04/2016,13/05/2016,Rajasthan,15,13
17,16,Shri Chunibhai Kanjibhai Gohel,239,25/04/2016,13/05/2016,Gujrat,15,6
18,17,Mahant Shambhuprasadji Tundiya,239,25/04/2016,13/05/2016,Gujrat,15,11
19,18,Shri Lal Sinh Vadodia,239,25/04/2016,13/05/2016,Gujrat,15,14
20,19,Shri Ranvijay Singh Judev,239,25/04/2016,13/05/2016,Chhatisgarh,15,15
21,23,Shri Shwait Malik,239,25/04/2016,13/05/2016,Punjab,15,14
22,24,Shri M. Venkaiah Naidu,239,25/04/2016,13/05/2016,Rajasthan,15,M
23,25,Shri Ravi Shankar Prasad,239,25/04/2016,13/05/2016,Bihar,15,M
24,26,Shri Thaawar Chand Gehlot,239,25/04/2016,13/05/2016,Madhya Pradesh,15,M
25,27,Shri Suresh Prabhu,239,25/04/2016,13/05/2016,Andhra Pradesh,15,M
26,28,Shri Jagat Prakash Nadda,239,25/04/2016,13/05/2016,Himanchal Pradesh,15,M
27,29,Shri Prakash Javadekar,239,25/04/2016,13/05/2016,Madhya Pradesh,15,M
28,30,Chaudhary Birender Singh,239,25/04/2016,13/05/2016,Haryana,15,M
29,31,Shri Piyush Goyal,239,25/04/2016,13/05/2016,Maharashtra,15,M
30,32,Smt. Smriti Zubin Irani,239,25/04/2016,13/05/2016,Gujrat,15,M
